,MACD_SIGNAL,MACD_ZERO,Color
2009-05-01,1.04071960306,0.928182067709,g
2009-05-04,1.04649142036,0.987370176567,g
2009-05-05,1.0565123676,1.03115952671,g
2009-05-06,1.06753909113,1.04937703367,g
2009-05-07,1.07176106921,0.997641859478,g
2009-05-08,1.06994240291,0.946665432612,g
2009-05-11,1.06324340814,0.900735901191,g
2009-05-12,1.0432410548,0.773955881618,g
2009-05-13,1.00481881588,0.58868317551,g
2009-05-14,0.95925234834,0.489002581329,g
2009-05-15,0.908013332463,0.396192618874,g
2009-05-18,0.860452132068,0.383072212431,g
2009-05-19,0.817278552658,0.379728803376,g
2009-05-20,0.774840070599,0.347226786573,g
2009-05-21,0.730415413611,0.290701497134,g
2009-05-22,0.682216806934,0.21615357848,g
2009-05-26,0.646073545528,0.28180146654,k
2009-05-27,0.622597063364,0.363934794228,g
2009-05-28,0.611414367243,0.454176564957,g
2009-05-29,0.609715255089,0.530075450869,k
2009-06-01,0.619962451468,0.636923251017,k
2009-06-02,0.637730581215,0.714458357883,k
2009-06-03,0.661891953061,0.788585647257,k
2009-06-04,0.693672863229,0.879639797521,k
2009-06-05,0.730483980141,0.954114064571,r
2009-06-08,0.767344241754,0.987958854175,k
2009-06-09,0.800151605164,0.98463020709,k
2009-06-10,0.823835473633,0.931618586774,k
2009-06-11,0.83877128087,0.873735504606,k
2009-06-12,0.840928674105,0.771347687821,k
2009-06-15,0.831455339187,0.667778963675,g
2009-06-16,0.81347116369,0.581964510787,g
2009-06-17,0.787710112665,0.495087431689,g
2009-06-18,0.756793528029,0.424937914326,g
2009-06-19,0.728367891089,0.41948763762,g
2009-06-22,0.698083141937,0.376829113619,g
2009-06-23,0.660849312267,0.286302289489,g
2009-06-24,0.622797256457,0.245096058993,g
2009-06-25,0.590743165707,0.26499106765,g
2009-06-26,0.567546311719,0.316270362914,g
2009-06-29,0.549777935208,0.344476577913,g
2009-06-30,0.536454693532,0.368686162267,g
2009-07-01,0.526654139163,0.388559428833,g
2009-07-02,0.514162778019,0.355253525378,g
2009-07-06,0.497088939551,0.302343025639,g
2009-07-07,0.471192161877,0.206800915208,g
2009-07-08,0.442344570263,0.15653177645,g
2009-07-09,0.410273664574,0.101112944125,g
2009-07-10,0.380047148323,0.0887490934333,g
2009-07-13,0.358030243999,0.135810625299,g
2009-07-14,0.341868999322,0.168963257802,g
2009-07-15,0.337688913191,0.263005693691,g
2009-07-16,0.342689779602,0.342512291205,g
2009-07-17,0.360691778326,0.465009478216,g
2009-07-20,0.388747468163,0.572560382015,g
2009-07-21,0.420056299993,0.627531348281,g
2009-07-22,0.460965591239,0.743043411352,g
2009-07-23,0.50854890077,0.840714279476,g
2009-07-24,0.562318888574,0.940018856835,g
2009-07-27,0.618174256724,1.00772536946,g
2009-07-28,0.672734437927,1.04665191319,k
2009-07-29,0.723816736093,1.06459962473,g
2009-07-30,0.774560306288,1.10787353663,k
2009-07-31,0.823479048025,1.13735666029,k
2009-08-03,0.873675115387,1.19333009676,k
2009-08-04,0.920564309021,1.20886980294,k
2009-08-05,0.961717263618,1.19936742288,k
2009-08-06,0.994276991209,1.15873894185,k
2009-08-07,1.02121099482,1.13723807885,k
2009-08-10,1.04071540463,1.09426637577,k
2009-08-11,1.0498385368,1.01777300282,g
2009-08-12,1.05426165532,0.983407020843,k
2009-08-13,1.05921100572,0.992194663144,k
2009-08-14,1.06027608528,0.961443061919,g
2009-08-17,1.04503095525,0.814426123925,g
2009-08-18,1.02496528447,0.756857156355,g
2009-08-19,1.001888611,0.711332512686,g
2009-08-20,0.979110901924,0.693107457407,g
2009-08-21,0.960962433927,0.714442455567,g
2009-08-24,0.94518085209,0.719451134341,g
2009-08-25,0.930966774754,0.719354472981,g
2009-08-26,0.91374583304,0.679176554317,g
2009-08-27,0.897286553225,0.670462507675,g
2009-08-28,0.881765798191,0.664044205565,g
2009-08-31,0.863165522197,0.622021515603,g
2009-09-01,0.836945654549,0.536012489573,g
2009-09-02,0.804922826897,0.459572555995,g
2009-09-03,0.771142813616,0.414575068778,g
2009-09-04,0.742598125957,0.431426658408,g
2009-09-08,0.722156154119,0.47904424785,g
2009-09-09,0.70411059695,0.482239933455,g
2009-09-10,0.689826624534,0.499996148854,g
2009-09-11,0.677073768403,0.5009281235,g
2009-09-14,0.667590300562,0.519020709766,g
2009-09-15,0.662286524439,0.548338852524,g
2009-09-16,0.670637784688,0.667419491396,k
2009-09-17,0.692035844791,0.793370850037,k
2009-09-18,0.721856129365,0.889200643441,k
2009-09-21,0.754025972395,0.937574379289,g
2009-09-22,0.786643686069,0.970825778537,g
2009-09-23,0.819272691945,1.00052243641,g
2009-09-24,0.846959196143,0.98528333767,g
2009-09-25,0.866745932828,0.938728473813,g
2009-09-28,0.885652621888,0.948696358971,g
2009-09-29,0.90092078846,0.932838002188,k
2009-09-30,0.91195003186,0.908230933741,g
2009-10-01,0.910861415578,0.808291913477,k
2009-10-02,0.90697806239,0.78194742904,k
2009-10-05,0.902000734102,0.768498357717,k
2009-10-06,0.902067830079,0.809750700428,k
2009-10-07,0.904963175355,0.835472414242,k
2009-10-08,0.906948220118,0.829840175606,k
2009-10-09,0.90913445284,0.83346660365,g
2009-10-12,0.910811773552,0.830832800435,g
2009-10-13,0.909599231245,0.806134779849,g
2009-10-14,0.907393450732,0.796022938167,g
2009-10-15,0.902186504904,0.766791910885,g
2009-10-16,0.889626111097,0.69534944948,g
2009-10-19,0.874231618653,0.658239437165,g
2009-10-20,0.871347852201,0.757782340968,k
2009-10-21,0.88673935384,0.920978242969,k
2009-10-22,0.913885303079,1.04159167327,k
2009-10-23,0.945170249305,1.1037746312,k
2009-10-26,0.974698169022,1.11621802512,k
2009-10-27,0.992155347061,1.0334904437,k
2009-10-28,0.990856447206,0.87915465608,k
2009-10-29,0.981843949504,0.807990326454,k
2009-10-30,0.95310552162,0.620838964133,k
2009-11-02,0.911562941124,0.478591783256,k
2009-11-03,0.86021451693,0.351931131336,k
2009-11-04,0.806000643172,0.279344110362,k
2009-11-05,0.755948310495,0.267913466378,k
2009-11-06,0.709986928861,0.259618141268,k
2009-11-09,0.679560782255,0.358869075502,k
2009-11-10,0.66275448206,0.454836790721,k
2009-11-11,0.655685539821,0.527935857721,k
2009-11-12,0.652719289736,0.558746090156,k
2009-11-13,0.656070260919,0.613371239809,r
2009-11-16,0.666616677643,0.681696203327,r
2009-11-17,0.681663913155,0.732101154269,r
2009-11-18,0.696744534531,0.746056492474,r
2009-11-19,0.701197251258,0.663311737534,k
2009-11-20,0.696116598541,0.580855004102,k
2009-11-23,0.69369573089,0.600377657796,k
2009-11-24,0.689888100988,0.585599034971,k
2009-11-25,0.683903007316,0.562388124692,k
2009-11-27,0.669558436306,0.481111895006,k
2009-11-30,0.647762269531,0.400488324385,g
2009-12-01,0.615559884268,0.286296457027,g
2009-12-02,0.574974569946,0.181020378284,k
2009-12-03,0.52943649432,0.0992605005099,k
2009-12-04,0.475771119907,-0.0157957667388,k
2009-12-07,0.410012300195,-0.174211001562,k
2009-12-08,0.338819145215,-0.283180260731,k
2009-12-09,0.279038230417,-0.244230355567,k
2009-12-10,0.226464469782,-0.233079012723,k
2009-12-11,0.177297021194,-0.249873802568,k
2009-12-14,0.135715752114,-0.225653897942,k
2009-12-15,0.0957685585336,-0.248554733665,k
2009-12-16,0.0594987764575,-0.251433682572,k
2009-12-17,0.0214098068237,-0.300846997662,k
2009-12-18,-0.0108199613633,-0.282244489799,k
2009-12-21,-0.0332236915125,-0.222334608492,k
2009-12-22,-0.0444358286865,-0.1411197738,k
2009-12-23,-0.0444864053144,-0.0500232404138,k
2009-12-24,-0.024928449263,0.127839999449,k
2009-12-28,0.0121216104453,0.304291693262,k
2009-12-29,0.0559345514223,0.399267320664,k
2009-12-30,0.107264460621,0.507220807637,k
2009-12-31,0.160473262456,0.57083995301,k
